workerid,proliferate.condition,f0,id,poa,response,slide_number_in_experiment,vot,word,error
13,young,6,pang_F0_6_VOT_1.wav,lab,tense,179,1,pang,
13,young,3,pang_F0_3_VOT_7.wav,lab,lenis,180,7,pang,
13,young,5,pang_F0_5_VOT_1.wav,lab,tense,181,1,pang,
13,young,3,pang_F0_3_VOT_3.wav,lab,lenis,182,3,pang,
13,young,5,pang_F0_5_VOT_7.wav,lab,asp,183,7,pang,
13,young,1,pang_F0_1_VOT_8.wav,lab,lenis,184,8,pang,
13,young,8,pang_F0_8_VOT_4.wav,lab,asp,185,4,pang,
13,young,7,pang_F0_7_VOT_7.wav,lab,asp,186,7,pang,
13,young,1,pang_F0_1_VOT_2.wav,lab,lenis,187,2,pang,
13,young,6,pang_F0_6_VOT_4.wav,lab,asp,188,4,pang,
13,young,2,pang_F0_2_VOT_1.wav,lab,tense,189,1,pang,
13,young,8,pang_F0_8_VOT_2.wav,lab,asp,190,2,pang,
13,young,6,pang_F0_6_VOT_7.wav,lab,asp,191,7,pang,
13,young,8,pang_F0_8_VOT_1.wav,lab,tense,192,1,pang,
13,young,7,pang_F0_7_VOT_8.wav,lab,asp,193,8,pang,
13,young,8,pang_F0_8_VOT_7.wav,lab,asp,194,7,pang,
13,young,7,pang_F0_7_VOT_2.wav,lab,tense,195,2,pang,
13,young,4,pang_F0_4_VOT_6.wav,lab,asp,196,6,pang,
13,young,2,pang_F0_2_VOT_6.wav,lab,lenis,197,6,pang,
13,young,2,pang_F0_2_VOT_4.wav,lab,lenis,198,4,pang,
13,young,2,pang_F0_2_VOT_8.wav,lab,asp,199,8,pang,
13,young,4,pang_F0_4_VOT_7.wav,lab,asp,200,7,pang,
13,young,8,pang_F0_8_VOT_8.wav,lab,asp,201,8,pang,
13,young,4,pang_F0_4_VOT_3.wav,lab,asp,202,3,pang,
13,young,7,pang_F0_7_VOT_5.wav,lab,asp,203,5,pang,
13,young,7,pang_F0_7_VOT_3.wav,lab,asp,204,3,pang,
13,young,6,pang_F0_6_VOT_6.wav,lab,asp,205,6,pang,
13,young,2,pang_F0_2_VOT_7.wav,lab,lenis,206,7,pang,
13,young,3,pang_F0_3_VOT_6.wav,lab,lenis,207,6,pang,
13,young,3,pang_F0_3_VOT_1.wav,lab,tense,208,1,pang,
13,young,1,pang_F0_1_VOT_1.wav,lab,tense,209,1,pang,
13,young,4,pang_F0_4_VOT_8.wav,lab,asp,210,8,pang,
27,young,,check,,true,2,,check1,
27,young,,check,,true,3,,check2,
27,young,,check,,true,4,,check3,
27,young,2,practice,lab,tense,6,2,pang,
27,young,3,practice,lab,asp,7,8,pang,
27,young,8,practice,lab,asp,8,3,pang,
27,young,8,practice,lab,asp,9,8,pang,
27,young,7,practice,lab,tense,10,2,pang,
27,young,4,practice,lab,asp,11,8,pang,
27,young,4,practice,lab,tense,12,2,pang,
27,young,3,practice,lab,asp,13,4,pang,
27,young,2,practice,lab,lenis,14,3,pang,
27,young,5,practice,lab,asp,15,3,pang,
27,young,6,pang_F0_6_VOT_1.wav,lab,tense,17,1,pang,
27,young,7,pang_F0_7_VOT_3.wav,lab,asp,18,3,pang,
27,young,8,pang_F0_8_VOT_4.wav,lab,asp,19,4,pang,
27,young,2,pang_F0_2_VOT_6.wav,lab,lenis,20,6,pang,
27,young,4,pang_F0_4_VOT_8.wav,lab,asp,21,8,pang,
27,young,3,pang_F0_3_VOT_8.wav,lab,asp,22,8,pang,
27,young,5,pang_F0_5_VOT_7.wav,lab,asp,23,7,pang,
27,young,8,pang_F0_8_VOT_7.wav,lab,asp,24,7,pang,
27,young,7,pang_F0_7_VOT_1.wav,lab,tense,25,1,pang,
27,young,2,pang_F0_2_VOT_8.wav,lab,lenis,26,8,pang,
27,young,7,pang_F0_7_VOT_6.wav,lab,asp,27,6,pang,
27,young,3,pang_F0_3_VOT_1.wav,lab,tense,28,1,pang,
27,young,8,pang_F0_8_VOT_1.wav,lab,tense,29,1,pang,
27,young,5,pang_F0_5_VOT_8.wav,lab,asp,30,8,pang,
27,young,4,pang_F0_4_VOT_3.wav,lab,asp,31,3,pang,
27,young,7,pang_F0_7_VOT_7.wav,lab,asp,32,7,pang,
27,young,1,pang_F0_1_VOT_5.wav,lab,lenis,33,5,pang,
27,young,3,pang_F0_3_VOT_2.wav,lab,tense,34,2,pang,
27,young,1,pang_F0_1_VOT_3.wav,lab,lenis,35,3,pang,
27,young,1,pang_F0_1_VOT_4.wav,lab,lenis,36,4,pang,
27,young,4,pang_F0_4_VOT_4.wav,lab,asp,37,4,pang,
27,young,2,pang_F0_2_VOT_2.wav,lab,lenis,38,2,pang,
27,young,1,pang_F0_1_VOT_2.wav,lab,lenis,39,2,pang,
27,young,4,pang_F0_4_VOT_7.wav,lab,asp,40,7,pang,
27,young,3,pang_F0_3_VOT_5.wav,lab,asp,41,5,pang,
27,young,1,pang_F0_1_VOT_1.wav,lab,tense,42,1,pang,
27,young,6,pang_F0_6_VOT_4.wav,lab,asp,43,4,pang,
27,young,1,pang_F0_1_VOT_6.wav,lab,lenis,44,6,pang,
27,young,3,pang_F0_3_VOT_7.wav,lab,asp,45,7,pang,
27,young,7,pang_F0_7_VOT_5.wav,lab,asp,46,5,pang,
27,young,7,pang_F0_7_VOT_2.wav,lab,tense,47,2,pang,
27,young,5,pang_F0_5_VOT_1.wav,lab,tense,48,1,pang,
27,young,8,pang_F0_8_VOT_2.wav,lab,tense,49,2,pang,
27,young,2,pang_F0_2_VOT_3.wav,lab,lenis,50,3,pang,
27,young,1,pang_F0_1_VOT_7.wav,lab,lenis,51,7,pang,
27,young,6,pang_F0_6_VOT_8.wav,lab,asp,52,8,pang,
27,young,2,pang_F0_2_VOT_1.wav,lab,tense,53,1,pang,
27,young,4,pang_F0_4_VOT_6.wav,lab,asp,54,6,pang,
27,young,2,pang_F0_2_VOT_7.wav,lab,asp,55,7,pang,
27,young,8,pang_F0_8_VOT_8.wav,lab,asp,56,8,pang,
27,young,2,pang_F0_2_VOT_5.wav,lab,lenis,57,5,pang,
27,young,5,pang_F0_5_VOT_2.wav,lab,tense,58,2,pang,
27,young,3,pang_F0_3_VOT_3.wav,lab,lenis,59,3,pang,
27,young,6,pang_F0_6_VOT_3.wav,lab,asp,60,3,pang,
27,young,6,pang_F0_6_VOT_7.wav,lab,asp,61,7,pang,
27,young,5,pang_F0_5_VOT_5.wav,lab,asp,62,5,pang,
27,young,7,pang_F0_7_VOT_8.wav,lab,asp,63,8,pang,
27,young,8,pang_F0_8_VOT_6.wav,lab,asp,64,6,pang,
27,young,5,pang_F0_5_VOT_6.wav,lab,asp,65,6,pang,
27,young,8,pang_F0_8_VOT_3.wav,lab,asp,66,3,pang,
27,young,6,pang_F0_6_VOT_2.wav,lab,tense,67,2,pang,
27,young,2,pang_F0_2_VOT_4.wav,lab,lenis,68,4,pang,
27,young,4,pang_F0_4_VOT_2.wav,lab,tense,69,2,pang,
27,young,1,pang_F0_1_VOT_8.wav,lab,lenis,70,8,pang,
27,young,5,pang_F0_5_VOT_3.wav,lab,asp,71,3,pang,
27,young,7,pang_F0_7_VOT_4.wav,lab,asp,72,4,pang,
27,young,6,pang_F0_6_VOT_6.wav,lab,asp,73,6,pang,
27,young,6,pang_F0_6_VOT_5.wav,lab,asp,74,5,pang,
27,young,3,pang_F0_3_VOT_4.wav,lab,lenis,75,4,pang,
27,young,8,pang_F0_8_VOT_5.wav,lab,asp,76,5,pang,
27,young,4,pang_F0_4_VOT_1.wav,lab,tense,77,1,pang,
27,young,5,pang_F0_5_VOT_4.wav,lab,asp,78,4,pang,
27,young,4,pang_F0_4_VOT_5.wav,lab,asp,79,5,pang,
27,young,3,pang_F0_3_VOT_6.wav,lab,asp,80,6,pang,
27,young,6,pang_F0_6_VOT_4.wav,lab,asp,82,4,pang,
27,young,3,pang_F0_3_VOT_2.wav,lab,tense,83,2,pang,
27,young,8,pang_F0_8_VOT_5.wav,lab,asp,84,5,pang,
27,young,8,pang_F0_8_VOT_2.wav,lab,tense,85,2,pang,
27,young,7,pang_F0_7_VOT_5.wav,lab,asp,86,5,pang,
27,young,2,pang_F0_2_VOT_5.wav,lab,lenis,87,5,pang,
27,young,1,pang_F0_1_VOT_4.wav,lab,lenis,88,4,pang,
27,young,3,pang_F0_3_VOT_4.wav,lab,lenis,89,4,pang,
27,young,1,pang_F0_1_VOT_6.wav,lab,lenis,90,6,pang,
27,young,3,pang_F0_3_VOT_3.wav,lab,lenis,91,3,pang,
27,young,4,pang_F0_4_VOT_8.wav,lab,asp,92,8,pang,
27,young,3,pang_F0_3_VOT_5.wav,lab,lenis,93,5,pang,
27,young,5,pang_F0_5_VOT_1.wav,lab,tense,94,1,pang,
27,young,3,pang_F0_3_VOT_7.wav,lab,lenis,95,7,pang,
27,young,3,pang_F0_3_VOT_1.wav,lab,tense,96,1,pang,
27,young,1,pang_F0_1_VOT_3.wav,lab,lenis,97,3,pang,
27,young,2,pang_F0_2_VOT_4.wav,lab,lenis,98,4,pang,
27,young,2,pang_F0_2_VOT_7.wav,lab,lenis,99,7,pang,
27,young,6,pang_F0_6_VOT_3.wav,lab,asp,100,3,pang,
27,young,7,pang_F0_7_VOT_6.wav,lab,asp,101,6,pang,
27,young,4,pang_F0_4_VOT_7.wav,lab,asp,102,7,pang,
27,young,8,pang_F0_8_VOT_1.wav,lab,tense,103,1,pang,
27,young,6,pang_F0_6_VOT_2.wav,lab,tense,104,2,pang,
27,young,8,pang_F0_8_VOT_7.wav,lab,asp,105,7,pang,
27,young,2,pang_F0_2_VOT_2.wav,lab,lenis,106,2,pang,
27,young,1,pang_F0_1_VOT_7.wav,lab,lenis,107,7,pang,
27,young,1,pang_F0_1_VOT_8.wav,lab,lenis,108,8,pang,
27,young,4,pang_F0_4_VOT_3.wav,lab,lenis,109,3,pang,
27,young,4,pang_F0_4_VOT_1.wav,lab,tense,110,1,pang,
27,young,5,pang_F0_5_VOT_8.wav,lab,asp,111,8,pang,
27,young,8,pang_F0_8_VOT_4.wav,lab,asp,112,4,pang,
27,young,1,pang_F0_1_VOT_1.wav,lab,tense,113,1,pang,
27,young,4,pang_F0_4_VOT_2.wav,lab,tense,114,2,pang,
27,young,6,pang_F0_6_VOT_6.wav,lab,asp,115,6,pang,
27,young,2,pang_F0_2_VOT_1.wav,lab,tense,116,1,pang,
27,young,1,pang_F0_1_VOT_2.wav,lab,lenis,117,2,pang,
